date,value
2018-01-02,0
2018-01-02,0
2018-01-03,23608600
2018-01-03,23608600
2018-01-03,23445400
2018-01-03,23445400
2018-01-04,2543700
2018-01-04,2543700
2018-01-04,4808400
2018-01-04,4808400
2018-01-08,0
2018-01-08,0
2018-01-08,0
2018-01-08,0
2018-01-09,23448600
2018-01-09,23448600
2018-01-09,23734100
2018-01-09,23734100
2018-01-09,23448600
2018-01-09,23448600
2018-01-09,23734100
2018-01-09,23734100
2018-01-09,23448600
2018-01-09,23448600
2018-01-09,23734100
2018-01-09,23734100
2018-01-09,23448600
2018-01-09,23448600
2018-01-09,23734100
2018-01-09,23734100
2018-01-10,0
2018-01-10,0
2018-01-10,0
2018-01-10,0
2018-01-14,0
2018-01-14,0
2018-01-14,0
2018-01-14,0
2018-01-15,23666000
2018-01-15,23666000
2018-01-15,23606700
2018-01-15,23606700
2018-01-15,23666000
2018-01-15,23666000
2018-01-15,23606700
2018-01-15,23606700
2018-01-15,23666000
2018-01-15,23666000
2018-01-15,23606700
2018-01-15,23606700
2018-01-15,23666000
2018-01-15,23666000
2018-01-15,23606700
2018-01-15,23606700
2018-01-16,4465300
2018-01-16,4465300
2018-01-16,4465300
2018-01-16,4465300
2018-01-20,0
2018-01-20,0
2018-01-20,0
2018-01-20,0
2018-01-21,23850000
2018-01-21,23850000
2018-01-21,23363600
2018-01-21,23363600
2018-01-21,23850000
2018-01-21,23850000
2018-01-21,23363600
2018-01-21,23363600
2018-01-21,23850000
2018-01-21,23850000
2018-01-21,23363600
2018-01-21,23363600
2018-01-21,23850000
2018-01-21,23850000
2018-01-21,23363600
2018-01-21,23363600
2018-01-22,0
2018-01-22,0
2018-01-22,5068300
2018-01-22,5068300
2018-01-22,0
2018-01-22,0
2018-01-22,5068300
2018-01-22,5068300
2018-01-22,0
2018-01-22,0
2018-01-22,5068300
2018-01-22,5068300
2018-01-22,0
2018-01-22,0
2018-01-22,5068300
2018-01-22,5068300
2018-01-26,0
2018-01-26,0
2018-01-26,0
2018-01-26,0
2018-01-27,23984000
2018-01-27,23984000
2018-01-27,23754400
2018-01-27,23754400
2018-01-27,23984000
2018-01-27,23984000
2018-01-27,23754400
2018-01-27,23754400
2018-01-27,23984000
2018-01-27,23984000
2018-01-27,23754400
2018-01-27,23754400
2018-01-27,23984000
2018-01-27,23984000
2018-01-27,23754400
2018-01-27,23754400
2018-01-28,4381700
2018-01-28,4381700
2018-01-28,4496100
2018-01-28,4496100
2018-01-28,0
2018-01-28,0
2018-01-28,4381700
2018-01-28,4381700
2018-01-28,4496100
2018-01-28,4496100
2018-01-28,0
2018-01-28,0
2018-01-28,4381700
2018-01-28,4381700
2018-01-28,4496100
2018-01-28,4496100
2018-01-28,0
2018-01-28,0
2018-01-28,4381700
2018-01-28,4381700
2018-01-28,4496100
2018-01-28,4496100
2018-01-28,0
2018-01-28,0
2018-01-28,4381700
2018-01-28,4381700
2018-01-28,4496100
2018-01-28,4496100
2018-01-28,0
2018-01-28,0
2018-01-28,4381700
2018-01-28,4381700
2018-01-28,4496100
2018-01-28,4496100
2018-01-28,0
2018-01-28,0
2018-02-01,0
2018-02-01,0
2018-02-01,0
2018-02-01,0
2018-02-02,23379900
2018-02-02,23379900
2018-02-02,23379900
2018-02-02,23379900
2018-02-03,0
2018-02-03,0
2018-02-03,4954900
2018-02-03,4954900
2018-02-03,0
2018-02-03,0
2018-02-03,4954900
2018-02-03,4954900
2018-02-03,0
2018-02-03,0
2018-02-03,4954900
2018-02-03,4954900
2018-02-03,0
2018-02-03,0
2018-02-03,4954900
2018-02-03,4954900
2018-02-07,0
2018-02-07,0
2018-02-07,0
2018-02-07,0
2018-02-08,23694400
2018-02-08,23694400
2018-02-08,23694400
2018-02-08,23694400
2018-02-09,4225800
2018-02-09,4225800
2018-02-09,4225800
2018-02-09,4225800
2018-02-13,0
2018-02-13,0
2018-02-13,0
2018-02-13,0
2018-02-14,22316100
2018-02-14,22316100
2018-02-14,23361100
2018-02-14,23361100
2018-02-14,22316100
2018-02-14,22316100
2018-02-14,23361100
2018-02-14,23361100
2018-02-14,22316100
2018-02-14,22316100
2018-02-14,23361100
2018-02-14,23361100
2018-02-14,22316100
2018-02-14,22316100
2018-02-14,23361100
2018-02-14,23361100
2018-02-15,0
2018-02-15,0
2018-02-15,2841300
2018-02-15,2841300
2018-02-15,0
2018-02-15,0
2018-02-15,2841300
2018-02-15,2841300
2018-02-15,0
2018-02-15,0
2018-02-15,2841300
2018-02-15,2841300
2018-02-15,0
2018-02-15,0
2018-02-15,2841300
2018-02-15,2841300
2018-02-19,0
2018-02-19,0
2018-02-19,0
2018-02-19,0
2018-02-20,23680700
2018-02-20,23680700
2018-02-20,22851300
2018-02-20,22851300
2018-02-20,23680700
2018-02-20,23680700
2018-02-20,22851300
2018-02-20,22851300
2018-02-20,23680700
2018-02-20,23680700
2018-02-20,22851300
