date,value
2018-01-03,344600
2018-01-03,344600
2018-01-04,361000
2018-01-04,361000
2018-01-05,0
2018-01-05,0
2018-01-09,363200
2018-01-09,363200
2018-01-10,375500
2018-01-10,375500
2018-01-11,0
2018-01-11,0
2018-01-11,0
2018-01-11,0
2018-01-15,376300
2018-01-15,376300
2018-01-15,376300
2018-01-15,376300
2018-01-16,371200
2018-01-16,371200
2018-01-16,371200
2018-01-16,371200
2018-01-17,0
2018-01-17,0
2018-01-17,0
2018-01-17,0
2018-01-21,353400
2018-01-21,353400
2018-01-21,353400
2018-01-21,353400
2018-01-22,364200
2018-01-22,364200
2018-01-22,383700
2018-01-22,383700
2018-01-22,364200
2018-01-22,364200
2018-01-22,383700
2018-01-22,383700
2018-01-22,364200
2018-01-22,364200
2018-01-22,383700
2018-01-22,383700
2018-01-22,364200
2018-01-22,364200
2018-01-22,383700
2018-01-22,383700
2018-01-23,0
2018-01-23,0
2018-01-23,0
2018-01-23,0
2018-01-27,369000
2018-01-27,369000
2018-01-27,369000
2018-01-27,369000
2018-01-28,373800
2018-01-28,373800
2018-01-28,373800
2018-01-28,373800
2018-01-29,0
2018-01-29,0
2018-01-29,0
2018-01-29,0
2018-02-02,345700
2018-02-02,345700
2018-02-02,345700
2018-02-02,345700
2018-02-03,373400
2018-02-03,373400
2018-02-03,338300
2018-02-03,338300
2018-02-03,373400
2018-02-03,373400
2018-02-03,338300
2018-02-03,338300
2018-02-03,373400
2018-02-03,373400
2018-02-03,338300
2018-02-03,338300
2018-02-03,373400
2018-02-03,373400
2018-02-03,338300
2018-02-03,338300
2018-02-04,0
2018-02-04,0
2018-02-04,0
2018-02-04,0
2018-02-08,346900
2018-02-08,346900
2018-02-08,346900
2018-02-08,346900
2018-02-09,351500
2018-02-09,351500
2018-02-09,351500
2018-02-09,351500
2018-02-10,0
2018-02-10,0
2018-02-10,0
2018-02-10,0
2018-02-14,334800
2018-02-14,334800
2018-02-14,334800
2018-02-14,334800
2018-02-15,352900
2018-02-15,352900
2018-02-15,365600
2018-02-15,365600
2018-02-15,352900
2018-02-15,352900
2018-02-15,365600
2018-02-15,365600
2018-02-15,352900
2018-02-15,352900
2018-02-15,365600
2018-02-15,365600
2018-02-15,352900
2018-02-15,352900
2018-02-15,365600
2018-02-15,365600
2018-02-16,0
2018-02-16,0
2018-02-16,0
2018-02-16,0
2018-02-20,337400
2018-02-20,337400
2018-02-20,337400
2018-02-20,337400
2018-02-21,352400
