date,value
2018-01-02,5489.279045977101
2018-01-04,nan
2018-01-07,1021.8366402850149
2018-01-12,7742.944407994531
2018-01-17,5875.942485890632
2018-01-19,nan
2018-01-22,0.13595673635922972
2018-01-24,7.073312829469585
2018-01-27,6757.610629179695
2018-02-01,nan
2018-02-06,5852.681055534069
2018-02-08,nan
2018-02-11,5771.77798737944
2018-02-13,8361.083814932887
2018-02-16,6478.947110407923
2018-02-18,nan
2018-02-21,5946.118422673601
2018-02-26,6867.506519438361
2018-03-20,33556.76469851633
2018-03-25,nan
2018-03-28,30325.04051749276
2018-04-02,nan
2018-04-04,31.303815415161502
2018-04-07,438.4644659277468
2018-04-14,33477.11619851036
2018-04-17,35612.55275789401
2018-04-19,32182.10381351174
2018-04-22,nan
2018-04-24,nan
2018-04-27,36514.18090033007
2018-04-29,nan
2018-05-02,nan
2018-05-04,nan
2018-05-07,nan
2018-05-09,nan
2018-05-12,nan
2018-05-14,35260.47195987931
2018-05-19,22772.149898172134
2018-05-22,1.3861029858815478e-05
2018-05-29,nan
2018-06-01,nan
2018-06-03,0.019343225354315364
2018-06-06,nan
2018-06-08,nan
2018-06-11,nan
2018-06-13,nan
2018-06-16,nan
2018-06-21,0.2787176790063003
2018-06-23,26822.93836723537
2018-06-26,0.4161059755410418
2018-06-28,nan
2018-07-01,6.066688222233035
2018-07-03,28562.738143638413
2018-07-06,103.70445719422848
2018-07-08,23960.450621913606
2018-07-11,9.185708149351992
2018-07-13,12.296040425789194
2018-07-16,3.685507378632546
2018-07-18,26534.805292555335
2018-07-21,0.026360356522642035
2018-07-23,24867.82970542841
2018-07-26,8451.06893738557
2018-07-28,26534.805292555335
2018-07-31,4611.460425797014
2018-08-02,21436.69073489019
2018-08-05,4626.20007598107
2018-08-07,22787.30978103357
2018-08-10,21061.43066688302
2018-08-12,nan
2018-08-15,21919.75009068198
2018-08-17,16377.849938028208
2018-08-20,21669.952169857897
2018-08-22,20241.062997920304
2018-08-25,21523.95492346412
2018-08-27,15867.171389637604
2018-08-30,6130.142749763071
