date,value
2018-01-03,2215900
2018-01-03,2215900
2018-01-04,2227200
2018-01-04,2227200
2018-01-05,0
2018-01-05,0
2018-01-09,2277100
2018-01-09,2277100
2018-01-10,2321500
2018-01-10,2321500
2018-01-11,0
2018-01-11,0
2018-01-11,0
2018-01-11,0
2018-01-15,2263700
2018-01-15,2263700
2018-01-15,2263700
2018-01-15,2263700
2018-01-16,2296600
2018-01-16,2296600
2018-01-16,2296600
2018-01-16,2296600
2018-01-17,0
2018-01-17,0
2018-01-17,0
2018-01-17,0
2018-01-21,2235300
2018-01-21,2235300
2018-01-21,2235300
2018-01-21,2235300
2018-01-22,2296100
2018-01-22,2296100
2018-01-22,2288000
2018-01-22,2288000
2018-01-22,2296100
2018-01-22,2296100
2018-01-22,2288000
2018-01-22,2288000
2018-01-22,2296100
2018-01-22,2296100
2018-01-22,2288000
2018-01-22,2288000
2018-01-22,2296100
2018-01-22,2296100
2018-01-22,2288000
2018-01-22,2288000
2018-01-23,0
2018-01-23,0
2018-01-23,0
2018-01-23,0
2018-01-27,2258800
2018-01-27,2258800
2018-01-27,2258800
2018-01-27,2258800
2018-01-28,2246900
2018-01-28,2246900
2018-01-28,2246900
2018-01-28,2246900
2018-01-29,0
2018-01-29,0
2018-01-29,0
2018-01-29,0
2018-02-02,2238400
2018-02-02,2238400
2018-02-02,2238400
2018-02-02,2238400
2018-02-03,2256600
2018-02-03,2256600
2018-02-03,2278900
2018-02-03,2278900
2018-02-03,2256600
2018-02-03,2256600
2018-02-03,2278900
2018-02-03,2278900
2018-02-03,2256600
2018-02-03,2256600
2018-02-03,2278900
2018-02-03,2278900
2018-02-03,2256600
2018-02-03,2256600
2018-02-03,2278900
2018-02-03,2278900
2018-02-04,0
2018-02-04,0
2018-02-04,0
2018-02-04,0
2018-02-08,2233900
2018-02-08,2233900
2018-02-08,2233900
2018-02-08,2233900
2018-02-09,2257600
2018-02-09,2257600
2018-02-09,2257600
2018-02-09,2257600
2018-02-10,0
2018-02-10,0
2018-02-10,0
2018-02-10,0
2018-02-14,2229200
2018-02-14,2229200
2018-02-14,2229200
2018-02-14,2229200
2018-02-15,2244300
2018-02-15,2244300
2018-02-15,2293800
2018-02-15,2293800
2018-02-15,2244300
2018-02-15,2244300
2018-02-15,2293800
2018-02-15,2293800
2018-02-15,2244300
2018-02-15,2244300
2018-02-15,2293800
2018-02-15,2293800
2018-02-15,2244300
2018-02-15,2244300
2018-02-15,2293800
2018-02-15,2293800
2018-02-16,0
2018-02-16,0
2018-02-16,0
2018-02-16,0
2018-02-20,2222800
2018-02-20,2222800
2018-02-20,2222800
2018-02-20,2222800
2018-02-21,2265800
2018-02-21,2265800
2018-02-21,2265800
2018-02-21,2265800
2018-02-22,0
2018-02-22,0
2018-02-22,0
2018-02-22,0
2018-02-26,2233300
2018-02-26,2233300
2018-02-26,2233300
2018-02-26,2233300
2018-02-27,2286400
2018-02-27,2286400
2018-02-27,2283600
2018-02-27,2283600
2018-02-27,2286400
2018-02-27,2286400
2018-02-27,2283600
2018-02-27,2283600
2018-02-27,2286400
2018-02-27,2286400
2018-02-27,2283600
2018-02-27,2283600
2018-02-27,2286400
2018-02-27,2286400
2018-02-27,2283600
2018-02-27,2283600
2018-02-28,0
2018-02-28,0
2018-02-28,0
2018-02-28,0
2018-03-04,2333700
2018-03-04,2333700
2018-03-04,2333700
2018-03-04,2333700
2018-03-05,2317000
2018-03-05,2317000
2018-03-05,2317000
2018-03-05,2317000
2018-03-06,0
2018-03-06,0
2018-03-06,0
2018-03-06,0
2018-03-10,416500
2018-03-10,416500
2018-03-10,416500
2018-03-10,416500
2018-03-11,2333300
2018-03-11,2333300
2018-03-11,2333300
2018-03-11,2333300
2018-03-12,0
2018-03-12,0
2018-03-12,0
2018-03-12,0
2018-03-16,2342000
2018-03-16,2342000
2018-03-16,2342000
2018-03-16,2342000
2018-03-17,2356000
2018-03-17,2356000
2018-03-17,2356000
2018-03-17,2356000
2018-03-18,0
2018-03-18,0
2018-03-18,0
2018-03-18,0
2018-03-22,2241800
2018-03-22,2241800
2018-03-22,2241800
2018-03-22,2241800
2018-03-23,2294100
2018-03-23,2294100
2018-03-23,2320600
2018-03-23,2320600
2018-03-23,2294100
2018-03-23,2294100
2018-03-23,2320600
2018-03-23,2320600
2018-03-23,2294100
2018-03-23,2294100
2018-03-23,2320600
2018-03-23,2320600
2018-03-23,2294100
2018-03-23,2294100
2018-03-23,2320600
2018-03-23,2320600
2018-03-24,0
2018-03-24,0
2018-03-24,0
2018-03-24,0
2018-03-28,2221000
2018-03-28,2221000
2018-03-28,2221000
2018-03-28,2221000
2018-03-29,2285100
2018-03-29,2285100
2018-03-29,2285100
2018-03-29,2285100
2018-03-30,0
2018-03-30,0
2018-03-30,0
2018-03-30,0
2018-04-03,2219300
2018-04-03,2219300
2018-04-03,2219300
2018-04-03,2219300
2018-04-04,2237400
2018-04-04,2237400
2018-04-04,2292300
2018-04-04,2292300
2018-04-04,2237400
2018-04-04,2237400
2018-04-04,2292300
2018-04-04,2292300
2018-04-04,2237400
2018-04-04,2237400
2018-04-04,2292300
2018-04-04,2292300
2018-04-04,2237400
2018-04-04,2237400
2018-04-04,2292300
2018-04-04,2292300
2018-04-05,0
2018-04-05,0
2018-04-05,0
