date,value
2018-01-02,32109010.903823905
2018-01-07,35910900.11468902
2018-01-10,29348342.219704892
2018-01-12,nan
2018-01-15,35967469.30816406
2018-01-17,35058825.48763309
2018-01-20,36723292.969813436
2018-01-22,nan
2018-01-27,37819209.81887195
2018-01-30,nan
2018-02-01,3882947.914764351
2018-02-06,40331780.58980645
2018-02-11,38537926.25868812
2018-02-16,41597084.29985214
2018-02-19,nan
2018-02-21,36423428.920724824
2018-02-24,8080427.309460997
2018-02-26,nan
2018-03-01,nan
2018-03-11,11795071.693694765
2018-03-16,5699367.227354815
2018-03-21,52714604.85264284
2018-03-26,52742632.822325274
2018-03-28,52236208.77357398
2018-03-31,3144368.1952494504
2018-04-02,nan
2018-04-05,30709090.05879887
2018-04-17,nan
2018-04-25,52266815.64472517
2018-04-27,50092506.11093144
2018-05-02,50547344.369835384
2018-05-05,50632939.642006
2018-05-07,36809963.23679732
2018-05-10,40706725.399339035
2018-05-12,50711992.37076868
2018-05-15,243183.88880961834
2018-05-17,50110884.05454788
2018-05-20,57978.11471505923
2018-05-22,nan
2018-05-25,5056.533480939432
2018-06-01,51639876.619115815
2018-06-14,326658.14222581295
2018-06-16,51197723.69355867
2018-06-19,nan
2018-06-21,30192010.558069598
2018-06-24,532223.6505900027
2018-06-26,50300041.26650038
2018-06-29,12346715.097365716
2018-07-01,14481.686840891753
2018-07-04,675.0403671521645
2018-07-06,48854464.10770294
2018-07-09,35450001.84392962
2018-07-11,49306940.072283834
2018-07-14,931643.5263502243
2018-07-16,47725986.36338177
2018-07-19,229341.89328499394
2018-07-21,47280862.54589828
2018-07-24,30138567.283367865
2018-07-26,46016202.58847132
2018-07-29,34959499.71937029
2018-07-31,44519949.51131052
2018-08-03,46426700.10166342
2018-08-05,41323031.229086086
2018-08-08,46126064.046204485
2018-08-10,43271211.49197282
2018-08-13,47042731.19999306
2018-08-15,45939605.43199862
2018-08-18,46406211.15967535
2018-08-20,44666574.86677131
2018-08-23,47360755.99388615
2018-08-25,43239922.0345409
2018-08-28,45761039.890172884
2018-08-30,44624846.55667103
2018-09-02,42381725.928178996
2018-09-07,111501.08748903268
2018-09-09,424138.60153541627
2018-09-12,3442746.266422244
2018-09-17,20973515.46403156
2018-09-19,39721554.63563624
2018-09-22,37177561.246968694
2018-09-24,37159689.31866954
2018-09-27,28326822.177749388
2018-09-29,38563245.18668338
2018-10-02,35879092.64605119
2018-10-04,33733182.72350817
2018-10-07,30873855.101681363
2018-10-09,1222698.1321719505
2018-10-12,4887045.5320384735
2018-10-14,3797401.9326243624
2018-10-17,30109631.67718412
2018-10-19,12671354.384237021
2018-10-22,18246189.658155676
2018-10-24,23418092.72172932
2018-10-27,nan
2018-10-29,31133349.00747357
2018-11-01,32995763.180884637
2018-11-03,nan
2018-11-06,6101891.211174316
2018-11-13,1423.4258401822503
2018-11-16,26971753.964154243
2018-11-21,33159814.543688852
2018-11-23,14939785.37839443
2018-11-26,nan
2018-11-28,43707522.66022809
2018-12-01,47710481.08245493
2018-12-06,47496159.22548023
2018-12-08,36456576.17107133
2018-12-13,29015692.981230304
2018-12-21,43979050.15160067
2018-12-23,44999588.8928639
2018-12-26,2882928.3788705505
2018-12-28,32737032.318254873
2019-01-02,40618401.80904987
2019-01-05,39449154.47125951
2019-01-07,40684638.6645085
2019-01-10,39002962.98439603
2019-01-12,38121544.82787086
2019-01-15,nan
2019-01-17,41718.90190671335
2019-01-20,38999332.3277312
2019-01-25,36757715.68455599
2019-01-27,23489918.04145091
2019-02-01,13552306.373872902
2019-02-04,36170412.7280767
2019-02-06,34974684.79397077
2019-02-09,36292120.09293938
2019-02-11,37369562.1299514
2019-02-14,36853917.31802947
2019-02-16,nan
2019-02-19,1954285.3229728967
2019-02-21,2575688.8888229057
2019-02-24,38312705.41938226
2019-02-26,1420701.5685399002
2019-03-01,20051074.310993347
2019-03-03,35989869.26314815
2019-03-06,13444244.353648948
2019-03-08,38449954.845382184
2019-03-11,41425423.68729501
2019-03-13,38352419.132934704
2019-03-16,38098722.50430762
2019-03-18,39230702.820788145
2019-03-21,40915514.10869116
2019-03-23,36881248.70470218
2019-03-26,nan
2019-03-28,38239330.3892293
2019-04-02,nan
2019-04-05,21121121.525987517
2019-04-10,12683959.686743217
2019-04-12,41698459.705697075
2019-04-15,19492900.99469123
2019-04-22,nan
2019-04-25,45993219.092874154
2019-04-27,44047017.25909909
2019-04-30,46037912.64489934
2019-05-02,42173016.126576625
2019-05-05,216438.32497984762
2019-05-07,36865799.72156327
2019-05-10,51943.26799908027
2019-05-12,42758993.31495414
2019-05-15,31958012.067364622
2019-05-22,40701816.89982108
2019-05-25,14301689.663337307
2019-05-27,38041085.871107034
2019-05-30,17135774.659238826
2019-06-01,41274947.52027391
2019-06-04,5568902.723848132
2019-06-06,40390520.96617455
2019-06-09,226377.6664220254
2019-06-11,40651515.8581404
2019-06-14,121216.46461411762
2019-06-16,nan
2019-06-19,nan
2019-06-21,39815332.61066724
2019-06-24,2079.2034792989543
2019-06-26,32614.921852350748
2019-06-29,385943.9586448614
2019-07-01,38079507.14645936
2019-07-04,164243.61260916633
2019-07-06,40862670.09605179
2019-07-09,nan
2019-07-11,39416361.6299258
2019-07-14,352085.7097095514
2019-07-16,38282628.16467915
2019-07-19,32928154.64841967
2019-07-21,34339919.62199932
2019-07-24,24497726.5281125
2019-07-26,3972.1013899031323
2019-07-29,23559759.53392544
2019-07-31,28971725.859102428
2019-08-03,21655875.92292922
2019-08-05,28520126.267751515
2019-08-08,28277745.14114268
2019-08-10,26596814.00915371
2019-08-13,26757293.939015437
2019-08-15,24160264.875462122
2019-08-18,24816845.0634757
2019-08-20,25642657.30909161
2019-08-23,25029286.208160616
2019-08-25,22475710.48278471
2019-08-28,23306392.677134424
2019-08-30,24119871.67522456
2019-09-02,22700735.078318406
2019-09-04,15479138.030333545
2019-09-07,22757612.855672717
2019-09-09,22367512.8349702
2019-09-12,21544984.603639606
2019-09-14,21886.66978246702
2019-09-17,nan
2019-09-19,5140133.271781057
2019-09-24,19510296.576916967
2019-09-27,17490955.903957285
2019-09-29,19520929.68951636
2019-10-02,19055815.720563773
2019-10-04,4805858.054837963
2019-10-07,35194.76739518718
2019-10-09,19090356.89537132
2019-10-12,1146009.0382747476
2019-10-14,1992882.6526649997
2019-10-17,2756.0824176611986
2019-10-24,20173091.535457343
2019-10-27,739913.0062468593
2019-10-29,61372.92008366917
2019-11-01,1990117.5833273304
2019-11-03,397361.2061716955
2019-11-06,136370.631002821
2019-11-08,11931596.33390578
2019-11-13,38860.49771633783
2019-11-16,21905303.171729453
2019-11-18,22865400.754696507
2019-11-23,478.94322507317617
2019-12-03,18641957.081059735
2019-12-06,27781992.624226797
2019-12-08,28584655.721668527
2019-12-23,33988649.34706646
2019-12-28,36756528.520146996
2020-01-02,nan
2020-01-05,38079507.14645936
2020-01-07,37222849.2795524
2020-01-10,38648887.23554036
2020-01-12,38452364.151598744
2020-01-20,16394169.537788013
2020-01-25,nan
2020-02-01,nan
2020-02-04,42817610.49152704
2020-02-06,nan
2020-02-11,43613370.01790231
2020-02-14,42042742.43076131
2020-02-16,42654295.64195953
2020-02-19,42202811.33395566
2020-02-21,42058864.45859883
2020-02-24,43546875.23507311
2020-02-26,5302067.584937904
2020-03-02,nan
2020-03-07,41261388.73414246
2020-03-10,43197380.16340968
2020-03-15,1457195.82078728
2020-03-27,41436531.42571304
2020-04-19,50866260.27210954
2020-04-21,65.50559646369331
2020-04-24,nan
2020-04-26,115684.82408635704
2020-04-29,38410208.36781944
2020-05-01,6200908.411325593
2020-05-04,41358797.558859006
2020-05-06,44125095.56542736
2020-05-09,4990.423455054277
2020-05-11,9727883.026075918
2020-05-16,nan
2020-05-19,29383661.87704365
2020-05-21,44208260.4839941
2020-05-24,8407819.021724178
2020-05-26,45276231.17927216
2020-05-29,42109723.99305393
2020-05-31,138305.2821848344
2020-06-03,2342791.758062513
2020-06-05,44275081.21890008
2020-06-08,1010477.4716523082
2020-06-10,41833338.742568396
2020-06-13,59593.89430629463
2020-06-15,873898.401957344
2020-06-18,42509.82107658926
2020-06-20,43727617.084608436
2020-06-23,34425886.34844292
2020-06-25,nan
2020-06-28,31947802.44900209
2020-06-30,41863055.865218684
2020-07-03,2114360.712433633
2020-07-05,39345947.68556991
2020-07-08,1752627.6517502766
2020-07-10,42677969.9672928
2020-07-13,2823371.933927159
2020-07-15,40504409.37244541
2020-07-18,10354240.385280004
2020-07-20,39170091.714735724
2020-07-23,39587710.67281673
2020-07-25,nan
2020-07-28,30941188.32924868
2020-07-30,2810.66266913846
2020-08-02,33310330.934702743
2020-08-04,34022218.52108578
2020-08-07,27857909.94652679
2020-08-09,34676049.939472795
2020-08-12,42245.645867666506
2020-08-14,32316014.873438127
2020-08-17,18386338.221401356
2020-08-19,28111089.98653888
2020-08-22,30853664.419319324
2020-08-24,28865195.501791343
2020-08-27,26479328.043101676
2020-08-29,27607638.1897459
2020-09-01,nan
2020-09-03,24216230.12472676
2020-09-06,24467552.87170248
2020-09-08,23260328.55894491
2020-09-11,nan
2020-09-13,nan
2020-09-18,15755190.68339227
2020-09-21,20109612.593096267
2020-09-23,nan
2020-09-26,23075347.5096364
2020-09-28,19449434.07997038
2020-10-01,2291481.507183409
2020-10-03,19567350.72457755
2020-10-06,nan
2020-10-08,18922639.1193174
2020-10-11,21978603.9860911
2020-10-13,20423731.367875308
2020-10-16,18835615.913298894
2020-10-18,nan
2020-10-21,157320.7682441564
2020-10-23,1694583.8713996336
2020-10-26,nan
2020-10-31,16049149.108574688
2020-11-02,nan
2020-11-07,1233728.3255843318
2020-11-10,28114354.660514276
2020-11-15,26185289.409671523
2020-11-17,nan
2020-11-20,26820501.85201864
2020-11-22,38599424.44487024
2020-12-02,45561060.07931768
2020-12-05,43990375.63700476
2020-12-15,40454187.6772168
2020-12-17,27556806.911686275
2020-12-20,46108173.829083554
2020-12-22,44276342.302308545
2020-12-27,43921179.12149231
2020-12-30,43052339.644282766
