date,value
2018-01-01,nan
2018-01-04,nan
2018-01-11,nan
2018-01-14,nan
2018-01-19,nan
2018-01-21,nan
2018-01-24,7626786.532454025
2018-01-26,7626786.532454025
2018-01-29,7631905.847354042
2018-01-31,7631905.847354042
2018-02-05,3.378036622366738
2018-02-08,66712780.24325082
2018-02-10,66698941.66660472
2018-02-13,145502063.01642087
2018-02-15,145502063.01642087
2018-02-20,145231724.05925846
2018-02-25,nan
2018-03-07,nan
2018-03-10,2286765.3347211746
2018-03-12,2286765.3347211746
2018-03-17,2286765.3347211746
2018-03-20,4835698.329722733
2018-03-22,863262.8217709233
2018-03-27,863262.8217709233
2018-04-01,nan
2018-04-04,nan
2018-04-09,841.7080278017239
2018-04-11,841.7080278017239
2018-04-14,23461.600698275888
2018-04-16,23461.600698275888
2018-04-19,255766427.4160638
2018-04-21,255625468.94695622
2018-04-24,280254958.9508328
2018-04-26,279969907.8009937
2018-04-29,279969907.8009937
2018-05-01,115337047.98728068
2018-05-04,278835478.329324
2018-05-06,264887871.94390088
2018-05-09,266222163.9268302
2018-05-11,266222163.9268302
2018-05-14,346794780.03015435
2018-05-16,318501768.3200458
2018-05-19,318596258.0076592
2018-05-21,316407408.1477798
2018-05-24,358117347.0541857
2018-05-31,309700496.14591575
2018-06-08,85337853.60109362
2018-06-10,85337853.60109362
2018-06-13,107985417.5303196
2018-06-15,107985417.5303196
2018-06-18,339832178.5115514
2018-06-20,360078954.9689251
2018-06-23,361679822.1697837
2018-06-25,361679822.1697837
2018-06-28,382206399.78241694
2018-06-30,382206399.78241694
2018-07-03,356041321.322733
2018-07-05,367575837.655895
2018-07-08,351643828.5800517
2018-07-10,356548614.74471253
2018-07-13,348264954.3034315
2018-07-15,362426337.1488266
2018-07-18,355365445.4246832
2018-07-20,364921493.84365964
2018-07-23,346834078.656704
2018-07-25,358232013.135953
2018-07-28,330244366.60294116
2018-07-30,330994065.0995403
2018-08-02,318199487.7041861
2018-08-04,320408215.2160222
2018-08-07,320332425.5541443
2018-08-09,312996503.982077
2018-08-12,331465428.24880916
2018-08-14,325929638.7212634
2018-08-17,326569693.1309046
2018-08-19,326760865.75676674
2018-08-22,312331340.3281855
2018-08-24,313240247.37506837
2018-08-27,304562002.0384535
2018-08-29,310321071.38518876
2018-09-03,302505653.0533945
2018-09-06,302510266.8989037
2018-09-08,273573827.49922264
2018-09-11,274252727.69730836
2018-09-13,274252727.69730836
2018-09-16,283000901.97371024
2018-09-18,273974902.5225866
2018-09-21,278551090.42759335
2018-09-23,278644390.53695685
2018-09-26,278484456.26592946
2018-09-28,265891564.24203345
2018-10-01,278511109.0532239
2018-10-03,277530170.1380723
2018-10-06,281177832.1794986
2018-10-08,281467910.3395777
2018-10-13,260179641.57489088
2018-10-16,263132354.48078826
2018-10-23,56756687.06702706
2018-10-26,56756687.06702706
2018-11-02,nan
2018-11-07,nan
2018-11-10,nan
2018-11-12,nan
2018-11-27,nan
2018-11-30,97497.05023917137
2018-12-02,97497.05023917137
2018-12-05,275374158.0281258
2018-12-07,275374158.0281258
2018-12-10,275374158.0281258
2018-12-12,275374158.0281258
2018-12-15,275705690.3494666
2018-12-17,14441080.528005019
2018-12-20,267049487.3238569
2018-12-22,267049487.3238569
2018-12-25,267049487.3238569
2018-12-27,265400363.05117115
2018-12-30,280651579.33346903
2019-01-01,nan
2019-01-04,267511558.27359882
2019-01-06,267511558.27359882
2019-01-09,278839922.9463124
2019-01-11,278839922.9463124
2019-01-14,273838242.3062412
2019-01-16,284667820.922788
2019-01-19,281570586.237931
2019-01-21,280219320.281691
2019-01-26,25404648.556863543
2019-01-29,25404648.556863543
2019-01-31,nan
2019-02-03,284416599.8355411
2019-02-05,284416599.8355411
2019-02-08,307744525.98702615
2019-02-10,307744525.98702615
2019-02-13,303221184.27014023
2019-02-15,306466910.8430814
2019-02-18,306466910.8430814
2019-02-23,278155834.7456056
2019-02-25,267555168.78364912
2019-02-28,306615453.4575472
2019-03-02,306615453.4575472
2019-03-07,298866213.9448368
2019-03-10,309481331.369656
2019-03-12,308768372.95734686
2019-03-15,310769359.4038419
2019-03-17,310769359.4038419
2019-03-20,310120371.9550207
2019-03-22,300819153.472357
2019-03-25,302496425.4591975
2019-03-27,299954545.4132339
2019-03-30,306768672.603749
2019-04-04,299605346.9889865
2019-04-11,301878470.74415445
2019-04-14,323551219.03187966
2019-04-16,323194431.8427124
2019-04-24,323194431.8427124
2019-04-26,376.65557711402306
2019-04-29,376.65557711402306
2019-05-01,376.65557711402306
2019-05-04,325127996.1431473
2019-05-06,325127996.1431473
2019-05-11,325127996.1431473
2019-05-14,337262156.3710439
2019-05-16,336636797.4439142
2019-05-19,336951834.2460464
2019-05-24,336951834.2460464
2019-05-26,30478730.770377997
2019-05-29,309220291.77292335
2019-05-31,307809633.4168853
2019-06-03,313310574.14031845
2019-06-05,313310574.14031845
2019-06-08,290125348.763547
2019-06-10,293879627.3433445
2019-06-15,260761203.31419945
2019-06-18,289713594.21755445
2019-06-20,246472483.78983822
2019-06-23,228075312.7350448
2019-06-25,228075312.7350448
2019-06-28,267476672.21302983
2019-06-30,267476672.21302983
2019-07-03,252304103.52779117
2019-07-05,258039476.53405234
2019-07-08,246720346.82535672
2019-07-10,254452201.16550747
2019-07-13,242313808.3144181
2019-07-15,243360873.25562614
2019-07-18,233401170.90465552
2019-07-20,236635272.43653762
2019-07-23,236495130.89055327
2019-07-25,230525455.0229226
2019-07-30,10471835.59377886
2019-08-02,207220952.5831494
2019-08-04,206701478.49994028
2019-08-07,207667246.67180172
2019-08-09,207667246.67180172
