date,value
2018-01-04,813100
2018-01-04,1527100
2018-01-05,1424800
2018-01-05,1578000
2018-01-10,1461900
2018-01-10,1548500
2018-01-11,1461000
2018-01-11,1518300
2018-01-11,1526100
2018-01-17,1488300
2018-01-22,1423900
2018-01-22,1531100
2018-01-22,1423900
2018-01-22,1531100
2018-01-23,1481600
2018-01-29,1544400
2018-01-29,1471300
2018-01-29,1544400
2018-01-29,1471300
2018-02-03,1358700
2018-02-03,1533800
2018-02-03,1358700
2018-02-03,1533800
2018-02-04,1460600
2018-02-10,1488100
2018-02-15,1449000
2018-02-15,1538400
2018-02-15,1449000
2018-02-15,1538400
2018-02-16,1466000
2018-02-22,1536400
2018-02-22,1462400
2018-02-22,1536400
2018-02-22,1462400
2018-02-27,1435900
2018-02-27,1540700
2018-02-27,1435900
2018-02-27,1540700
2018-02-28,1477500
2018-03-06,1603400
2018-03-11,2028100
2018-03-11,2127700
2018-03-11,2028100
2018-03-11,2127700
2018-03-12,2127300
2018-03-17,2372900
2018-03-18,2385000
2018-03-18,2642800
2018-03-18,2385000
2018-03-18,2642800
2018-03-23,3021300
2018-03-23,2951000
2018-03-23,3021300
2018-03-23,2951000
2018-03-24,3078300
2018-03-29,3257300
2018-03-30,3191500
2018-03-30,3232400
2018-03-30,3191500
2018-03-30,3232400
2018-04-04,3317100
2018-04-04,3244200
2018-04-04,3317100
2018-04-04,3244200
2018-04-05,3274300
2018-04-10,3300100
2018-04-11,3226900
2018-04-11,3291500
2018-04-11,3226900
2018-04-11,3291500
2018-04-16,3382600
2018-04-17,3355100
2018-04-22,3420900
2018-04-23,3340700
2018-04-23,3407800
2018-04-23,3340700
2018-04-23,3407800
2018-04-28,3449700
2018-04-28,3356200
2018-04-28,3449700
2018-04-28,3356200
2018-04-29,3465000
2018-05-04,3490700
2018-05-05,3353300
2018-05-10,3312000
2018-05-10,3315900
2018-05-10,3312000
2018-05-10,3315900
2018-05-11,3382000
2018-05-16,3395400
2018-05-17,3317400
2018-05-17,3378500
2018-05-17,3317400
2018-05-17,3378500
2018-05-22,3404900
2018-05-23,3356600
2018-05-28,3401200
2018-05-29,3505700
2018-05-29,3417300
2018-05-29,3505700
2018-05-29,3417300
2018-06-03,3485700
2018-06-03,3412100
2018-06-03,3485700
2018-06-03,3412100
2018-06-04,3489500
2018-06-09,3522200
2018-06-10,3427300
2018-06-10,3475500
2018-06-10,3427300
2018-06-10,3475500
2018-06-15,3419400
2018-06-15,3337200
2018-06-15,3419400
2018-06-15,3337200
2018-06-16,3422900
2018-06-21,1301700
2018-06-21,3413800
2018-06-21,1301700
2018-06-21,3413800
2018-06-22,3087300
2018-06-22,3482800
2018-06-22,3087300
2018-06-22,3482800
2018-06-27,3314900
2018-06-27,3387400
2018-06-27,3314900
2018-06-27,3387400
2018-06-28,3315300
2018-06-28,3290600
2018-06-28,3345700
2018-06-28,3315300
2018-06-28,3290600
2018-06-28,3345700
2018-06-28,3315300
2018-06-28,3290600
2018-06-28,3345700
2018-07-03,3318000
2018-07-03,3363600
2018-07-03,3318000
2018-07-03,3363600
2018-07-04,3314900
2018-07-04,3267300
2018-07-04,3314900
2018-07-04,3267300
2018-07-09,3245600
2018-07-09,3313600
2018-07-09,3245600
2018-07-09,3313600
2018-07-10,3216400
2018-07-10,3158300
2018-07-10,3222100
2018-07-10,3216400
2018-07-10,3158300
2018-07-10,3222100
2018-07-10,3216400
2018-07-10,3158300
2018-07-10,3222100
2018-07-15,3051200
2018-07-16,3241600
2018-07-16,3141800
2018-07-16,3241600
2018-07-16,3141800
2018-07-21,2769900
2018-07-21,3201000
2018-07-21,2769900
2018-07-21,3201000
2018-07-22,3102500
2018-07-22,2977700
2018-07-22,3127800
2018-07-22,3102500
2018-07-22,2977700
2018-07-22,3127800
2018-07-22,3102500
2018-07-22,2977700
