date,value
2018-01-02,0
2018-01-12,0
2018-01-17,2977800
2018-01-19,3021100
2018-01-22,2986800
2018-01-24,2991600
2018-01-27,2965800
2018-01-29,2978700
2018-02-08,3144900
2018-02-11,3121100
2018-02-13,3012000
2018-02-16,3051600
2018-02-18,3051600
2018-02-21,2939400
2018-02-26,2980900
2018-03-15,109300
2018-03-20,978600
2018-03-28,6887500
2018-04-02,6877700
2018-04-04,6877700
2018-04-14,7025300
2018-04-17,7283300
2018-04-19,7233000
2018-04-22,7233300
2018-04-24,7233300
2018-04-27,7282000
2018-04-29,7163600
2018-05-02,2272900
2018-05-04,7255400
2018-05-07,7261800
2018-05-12,7252600
2018-05-14,7245400
2018-05-19,7215100
2018-05-22,7185100
2018-05-24,6848300
2018-06-03,3250500
2018-06-13,6829300
2018-06-16,6829600
2018-06-21,1582000
2018-06-23,6697200
2018-06-26,3916700
2018-06-28,4958700
2018-07-01,4642800
2018-07-03,6113300
2018-07-06,4298300
2018-07-08,5821700
2018-07-11,5713300
2018-07-13,5832100
2018-07-16,3385500
2018-07-18,5738800
2018-07-21,3287100
2018-07-23,5787800
2018-07-26,3502600
2018-07-28,5752000
2018-07-31,4904800
2018-08-02,5715800
2018-08-05,5019200
2018-08-07,5603500
2018-08-10,5439900
2018-08-12,5533600
2018-08-15,5294900
2018-08-17,5343100
2018-08-20,5239500
2018-08-22,5057100
2018-08-25,4829200
2018-08-27,5094700
2018-08-30,5232500
2018-09-01,5162600
2018-09-04,5192900
2018-09-09,5278500
2018-09-11,5148400
2018-09-14,4868900
2018-09-16,4637200
2018-09-19,4547400
2018-09-21,4443800
2018-09-24,4572500
2018-09-26,4532300
2018-09-29,4429300
2018-10-01,4562000
2018-10-04,4422500
2018-10-06,4376500
2018-10-09,4379800
2018-10-14,4393800
2018-10-16,4556000
2018-10-19,4402500
2018-10-21,2035300
2018-10-24,4502800
2018-10-29,4451500
2018-11-03,4284100
2018-11-13,3283300
2018-11-15,2078100
2018-11-28,2230100
2018-11-30,2271300
2018-12-03,4682300
2018-12-05,4795800
2018-12-08,4775700
2018-12-10,4792800
2018-12-13,4793900
2018-12-15,4854600
2018-12-20,5024800
2018-12-23,4891500
2018-12-28,4971100
2018-12-30,4703800
2019-01-02,4764200
2019-01-04,4906600
2019-01-07,4661700
2019-01-09,4851000
2019-01-12,4670800
2019-01-14,4618000
2019-01-27,1586900
2019-01-29,1586900
2019-02-01,4232700
2019-02-03,4961800
2019-02-06,4808200
2019-02-08,4876300
2019-02-11,4875800
2019-02-13,4805500
2019-02-16,4746500
2019-02-21,4970500
2019-02-26,4843600
2019-02-28,4700800
2019-03-03,4763800
2019-03-10,4832900
2019-03-13,4881900
2019-03-15,4920600
2019-03-18,4876900
2019-03-20,4838200
2019-03-23,4825400
2019-03-25,4761300
2019-03-28,4542200
2019-03-30,4363500
2019-04-04,4355400
2019-04-12,4463200
2019-04-14,4589200
2019-04-22,4558400
2019-04-27,1700
2019-04-29,291200
2019-05-02,2129000
2019-05-04,2630700
2019-05-07,3354600
2019-05-12,4012000
2019-05-14,4262400
2019-05-19,3988100
2019-05-22,3843800
2019-05-24,3927400
2019-05-27,2943400
2019-05-29,3583800
2019-06-01,2867700
2019-06-03,3447300
2019-06-06,2705200
2019-06-08,3342200
2019-06-11,988700
2019-06-13,3217400
2019-06-18,3090400
2019-06-21,0
2019-06-23,2881200
2019-06-26,1483800
2019-06-28,2817100
2019-07-01,1482700
2019-07-03,2816400
2019-07-06,2835900
2019-07-08,2967700
2019-07-11,2960500
2019-07-13,3038500
2019-07-16,2970600
2019-07-18,2900700
2019-07-21,2765000
2019-07-23,2974100
2019-07-26,2967900
2019-07-28,3004200
2019-07-31,3031700
2019-08-02,3030500
2019-08-05,2951800
2019-08-10,2710300
2019-08-12,3016600
2019-08-15,2966000
2019-08-17,3070700
2019-08-20,2998300
2019-08-22,2956600
2019-08-25,3006100
2019-08-27,3017100
2019-08-30,3079600
2019-09-01,3010800
2019-09-04,3008800
2019-09-06,3070400
2019-09-09,3051800
2019-09-11,2978100
2019-09-16,3059100
2019-09-19,3050700
2019-09-24,2972500
2019-09-26,2976200
2019-09-29,3063000
2019-10-01,2935400
2019-10-04,2893600
2019-10-06,2957600
2019-10-09,2972500
2019-10-16,2917600
2019-10-21,2904300
2019-10-24,2903300
2019-10-26,2896200
2019-11-08,171600
2019-11-13,171600
2019-11-18,3028300
2019-11-23,3018400
2019-11-30,0
2019-12-03,3070800
2019-12-05,3070800
2019-12-08,2964500
2019-12-10,3210500
2019-12-15,3315000
