date,value
2018-01-04,3872700
2018-01-04,3832700
2018-01-05,4511300
2018-01-05,4411800
2018-01-05,4211800
2018-01-05,4136300
2018-01-06,0
2018-01-06,0
2018-01-10,3980000
2018-01-10,3925600
2018-01-11,4770100
2018-01-11,4650900
2018-01-11,4770100
2018-01-11,4650900
2018-01-12,0
2018-01-12,0
2018-01-12,0
2018-01-12,0
2018-01-16,2798400
2018-01-16,2789100
2018-01-16,2798400
2018-01-16,2789100
2018-01-17,3137200
2018-01-17,3107400
2018-01-17,4097300
2018-01-17,4005800
2018-01-17,3137200
2018-01-17,3107400
2018-01-17,4097300
2018-01-17,4005800
2018-01-17,3137200
2018-01-17,3107400
2018-01-17,4097300
2018-01-17,4005800
2018-01-17,3137200
2018-01-17,3107400
2018-01-17,4097300
2018-01-17,4005800
2018-01-18,0
2018-01-18,0
2018-01-18,0
2018-01-18,0
2018-01-22,2991100
2018-01-22,2978300
2018-01-22,2991100
2018-01-22,2978300
2018-01-23,4133600
2018-01-23,4039700
2018-01-23,4133600
2018-01-23,4039700
2018-01-24,0
2018-01-24,0
2018-01-24,0
2018-01-24,0
2018-01-28,4362300
2018-01-28,4286300
2018-01-28,4362300
2018-01-28,4286300
2018-01-29,4861300
2018-01-29,4719100
2018-01-29,4284100
2018-01-29,4200900
2018-01-29,4861300
2018-01-29,4719100
2018-01-29,4284100
2018-01-29,4200900
2018-01-29,4861300
2018-01-29,4719100
2018-01-29,4284100
2018-01-29,4200900
2018-01-29,4861300
2018-01-29,4719100
2018-01-29,4284100
2018-01-29,4200900
2018-01-30,0
2018-01-30,0
2018-01-30,0
2018-01-30,0
2018-02-03,4127100
2018-02-03,4061600
2018-02-03,4127100
2018-02-03,4061600
2018-02-04,4768700
2018-02-04,4634800
2018-02-04,4768700
2018-02-04,4634800
2018-02-05,0
2018-02-05,0
2018-02-05,0
2018-02-05,0
2018-02-09,3870300
2018-02-09,3830600
2018-02-09,3870300
2018-02-09,3830600
2018-02-10,3993800
2018-02-10,3925600
2018-02-10,4140200
2018-02-10,4043900
2018-02-10,3993800
2018-02-10,3925600
2018-02-10,4140200
2018-02-10,4043900
2018-02-10,3993800
2018-02-10,3925600
2018-02-10,4140200
2018-02-10,4043900
2018-02-10,3993800
2018-02-10,3925600
2018-02-10,4140200
2018-02-10,4043900
2018-02-11,0
2018-02-11,0
2018-02-11,0
2018-02-11,0
2018-02-15,2668700
2018-02-15,2668500
2018-02-15,2668700
2018-02-15,2668500
2018-02-16,3753500
2018-02-16,3682800
2018-02-16,3753500
2018-02-16,3682800
2018-02-17,0
2018-02-17,0
2018-02-17,0
2018-02-17,0
2018-02-21,3621700
2018-02-21,3590500
2018-02-21,3621700
2018-02-21,3590500
2018-02-22,4119900
2018-02-22,4046500
2018-02-22,4119900
2018-02-22,4046500
2018-02-23,0
2018-02-23,0
2018-02-23,0
2018-02-23,0
2018-02-27,4012200
2018-02-27,3972400
2018-02-27,4012200
2018-02-27,3972400
2018-02-28,4103600
2018-02-28,4039100
2018-02-28,4103600
2018-02-28,4039100
2018-03-01,0
2018-03-01,0
2018-03-01,0
2018-03-01,0
2018-03-05,4088800
2018-03-05,4047500
2018-03-05,4088800
2018-03-05,4047500
2018-03-06,3876400
2018-03-06,3844300
2018-03-06,4223200
2018-03-06,4171800
2018-03-06,3876400
2018-03-06,3844300
2018-03-06,4223200
2018-03-06,4171800
2018-03-06,3876400
2018-03-06,3844300
2018-03-06,4223200
2018-03-06,4171800
2018-03-06,3876400
2018-03-06,3844300
2018-03-06,4223200
2018-03-06,4171800
2018-03-07,0
2018-03-07,0
2018-03-07,0
2018-03-07,0
2018-03-11,4166800
2018-03-11,4130500
2018-03-11,4166800
2018-03-11,4130500
2018-03-12,4435000
2018-03-12,4373900
2018-03-12,4435000
2018-03-12,4373900
2018-03-13,0
2018-03-13,0
2018-03-13,0
2018-03-13,0
2018-03-17,4176300
2018-03-17,4137200
2018-03-17,4176300
2018-03-17,4137200
2018-03-18,4426000
2018-03-18,4371900
2018-03-18,4078700
2018-03-18,4052700
2018-03-18,4426000
2018-03-18,4371900
2018-03-18,4078700
2018-03-18,4052700
2018-03-18,4426000
2018-03-18,4371900
2018-03-18,4078700
2018-03-18,4052700
2018-03-18,4426000
2018-03-18,4371900
2018-03-18,4078700
2018-03-18,4052700
2018-03-19,0
2018-03-19,0
2018-03-19,0
2018-03-19,0
2018-03-23,4538100
2018-03-23,4474000
2018-03-23,4538100
2018-03-23,4474000
2018-03-24,4698200
2018-03-24,4615000
2018-03-24,4698200
2018-03-24,4615000
2018-03-25,0
2018-03-25,0
2018-03-25,0
2018-03-25,0
2018-03-29,4230500
2018-03-29,4203600
2018-03-29,4230500
2018-03-29,4203600
2018-03-30,4503900
2018-03-30,4447800
2018-03-30,4578200
2018-03-30,4509500
2018-03-30,4503900
2018-03-30,4447800
2018-03-30,4578200
2018-03-30,4509500
2018-03-30,4503900
2018-03-30,4447800
2018-03-30,4578200
2018-03-30,4509500
2018-03-30,4503900
2018-03-30,4447800
2018-03-30,4578200
2018-03-30,4509500
2018-03-31,0
2018-03-31,0
2018-03-31,0
2018-03-31,0
2018-04-04,4027800
2018-04-04,4016500
2018-04-04,4027800
2018-04-04,4016500
2018-04-05,4347200
2018-04-05,4287600
2018-04-05,4347200
2018-04-05,4287600
2018-04-06,0
2018-04-06,0
2018-04-06,0
2018-04-06,0
2018-04-10,4189400
2018-04-10,4167900
2018-04-10,4189400
2018-04-10,4167900
2018-04-11,4345000
2018-04-11,4309300
2018-04-11,4548200
2018-04-11,4492600
2018-04-11,4345000
2018-04-11,4309300
2018-04-11,4548200
2018-04-11,4492600
2018-04-11,4345000
2018-04-11,4309300
2018-04-11,4548200
2018-04-11,4492600
2018-04-11,4345000
2018-04-11,4309300
2018-04-11,4548200
2018-04-11,4492600
2018-04-12,0
2018-04-12,0
2018-04-12,0
2018-04-12,0
2018-04-16,4165500
2018-04-16,4159200
2018-04-16,4165500
2018-04-16,4159200
2018-04-17,4057500
2018-04-17,4040700
2018-04-17,4057500
2018-04-17,4040700
2018-04-18,0
2018-04-18,0
2018-04-18,0
2018-04-18,0
2018-04-22,3934800
2018-04-22,3934500
2018-04-22,3934800
2018-04-22,3934500
2018-04-23,4044400
2018-04-23,4042300
2018-04-23,4044400
2018-04-23,4042300
2018-04-24,0
2018-04-24,0
2018-04-24,0
2018-04-24,0
2018-04-28,4275800
2018-04-28,4260700
2018-04-28,4275800
2018-04-28,4260700
2018-04-29,4695400
2018-04-29,4614100
2018-04-29,4695400
2018-04-29,4614100
2018-04-30,0
2018-04-30,0
2018-04-30,0
2018-04-30,0
2018-05-04,3893400
2018-05-04,3893400
2018-05-04,3893400
2018-05-04,3893400
2018-05-05,3963500
2018-05-05,3961700
2018-05-05,4191300
2018-05-05,4180700
2018-05-05,3963500
2018-05-05,3961700
2018-05-05,4191300
2018-05-05,4180700
2018-05-05,3963500
2018-05-05,3961700
2018-05-05,4191300
2018-05-05,4180700
2018-05-05,3963500
2018-05-05,3961700
2018-05-05,4191300
2018-05-05,4180700
2018-05-06,0
2018-05-06,0
2018-05-06,0
2018-05-06,0
2018-05-10,4004600
2018-05-10,4004600
2018-05-10,4004600
2018-05-10,4004600
2018-05-11,4052300
2018-05-11,4049400
2018-05-11,4052300
2018-05-11,4049400
2018-05-12,0
2018-05-12,0
2018-05-12,0
2018-05-12,0
2018-05-16,4161800
2018-05-16,4157900
2018-05-16,4161800
2018-05-16,4157900
2018-05-17,4357800
2018-05-17,4335900
2018-05-17,4267100
2018-05-17,4249800
2018-05-17,4357800
2018-05-17,4335900
2018-05-17,4267100
2018-05-17,4249800
2018-05-17,4357800
2018-05-17,4335900
2018-05-17,4267100
2018-05-17,4249800
2018-05-17,4357800
2018-05-17,4335900
2018-05-17,4267100
2018-05-17,4249800
2018-05-18,0
2018-05-18,0
2018-05-18,0
2018-05-18,0
2018-05-23,4219800
2018-05-23,4212900
2018-05-23,4219800
2018-05-23,4212900
2018-05-24,0
2018-05-24,0
2018-05-24,0
2018-05-24,0
2018-05-28,4204600
2018-05-28,4201400
2018-05-28,4204600
2018-05-28,4201400
2018-05-29,4439600
2018-05-29,4409600
2018-05-29,4439600
2018-05-29,4409600
2018-05-30,0
2018-05-30,0
2018-05-30,0
2018-05-30,0
2018-06-03,4216400
2018-06-03,4212000
2018-06-03,4216400
2018-06-03,4212000
2018-06-04,4594600
2018-06-04,4541200
2018-06-04,4594600
2018-06-04,4541200
2018-06-05,0
2018-06-05,0
2018-06-05,0
2018-06-05,0
2018-06-09,4138000
2018-06-09,4133900
2018-06-09,4138000
2018-06-09,4133900
2018-06-10,4440400
2018-06-10,4414100
2018-06-10,4480500
2018-06-10,4446800
2018-06-10,4440400
2018-06-10,4414100
2018-06-10,4480500
2018-06-10,4446800
2018-06-10,4440400
2018-06-10,4414100
2018-06-10,4480500
2018-06-10,4446800
2018-06-10,4440400
2018-06-10,4414100
2018-06-10,4480500
2018-06-10,4446800
2018-06-11,0
2018-06-11,0
2018-06-11,0
2018-06-11,0
2018-06-15,3948700
2018-06-15,3948700
2018-06-15,3948700
2018-06-15,3948700
2018-06-16,4271400
2018-06-16,4253500
2018-06-16,4271400
2018-06-16,4253500
2018-06-17,0
2018-06-17,0
2018-06-17,0
2018-06-17,0
2018-06-21,3933400
2018-06-21,3932800
2018-06-21,3933400
2018-06-21,3932800
2018-06-22,4089400
2018-06-22,4082500
2018-06-22,3996700
2018-06-22,3986700
2018-06-22,4089400
2018-06-22,4082500
2018-06-22,3996700
2018-06-22,3986700
2018-06-22,4089400
2018-06-22,4082500
2018-06-22,3996700
2018-06-22,3986700
2018-06-22,4089400
2018-06-22,4082500
2018-06-22,3996700
2018-06-22,3986700
2018-06-23,0
2018-06-23,0
2018-06-23,0
2018-06-23,0
2018-06-27,3969900
2018-06-27,3968200
2018-06-27,3969900
2018-06-27,3968200
2018-06-28,4387200
2018-06-28,4351800
2018-06-28,4204000
2018-06-28,4176400
2018-06-28,4403600
2018-06-28,4367300
2018-06-28,4387200
2018-06-28,4351800
2018-06-28,4204000
2018-06-28,4176400
2018-06-28,4403600
2018-06-28,4367300
2018-06-28,4387200
2018-06-28,4351800
2018-06-28,4204000
2018-06-28,4176400
2018-06-28,4403600
2018-06-28,4367300
2018-06-28,4387200
2018-06-28,4351800
2018-06-28,4204000
2018-06-28,4176400
2018-06-28,4403600
2018-06-28,4367300
2018-06-28,4387200
2018-06-28,4351800
2018-06-28,4204000
2018-06-28,4176400
2018-06-28,4403600
2018-06-28,4367300
2018-06-28,4387200
2018-06-28,4351800
2018-06-28,4204000
2018-06-28,4176400
2018-06-28,4403600
2018-06-28,4367300
2018-06-29,0
2018-06-29,0
2018-06-29,0
2018-06-29,0
2018-07-03,3974400
2018-07-03,3972800
2018-07-03,3974400
2018-07-03,3972800
2018-07-04,4395500
2018-07-04,4356200
2018-07-04,4362500
2018-07-04,4319000
2018-07-04,4395500
2018-07-04,4356200
2018-07-04,4362500
2018-07-04,4319000
2018-07-04,4395500
2018-07-04,4356200
2018-07-04,4362500
2018-07-04,4319000
2018-07-04,4395500
2018-07-04,4356200
2018-07-04,4362500
2018-07-04,4319000
2018-07-05,0
2018-07-05,0
2018-07-05,0
2018-07-05,0
2018-07-09,3909800
2018-07-09,3909400
2018-07-09,3909800
2018-07-09,3909400
2018-07-10,4341700
2018-07-10,4297000
2018-07-10,4116700
2018-07-10,4099900
2018-07-10,4310000
2018-07-10,4271600
2018-07-10,4341700
2018-07-10,4297000
2018-07-10,4116700
2018-07-10,4099900
2018-07-10,4310000
2018-07-10,4271600
2018-07-10,4341700
2018-07-10,4297000
2018-07-10,4116700
2018-07-10,4099900
2018-07-10,4310000
2018-07-10,4271600
2018-07-10,4341700
2018-07-10,4297000
2018-07-10,4116700
2018-07-10,4099900
2018-07-10,4310000
2018-07-10,4271600
2018-07-10,4341700
2018-07-10,4297000
2018-07-10,4116700
2018-07-10,4099900
2018-07-10,4310000
2018-07-10,4271600
2018-07-10,4341700
2018-07-10,4297000
2018-07-10,4116700
2018-07-10,4099900
2018-07-10,4310000
2018-07-10,4271600
2018-07-11,0
2018-07-11,0
2018-07-11,0
2018-07-11,0
2018-07-15,4158700
2018-07-15,4141500
2018-07-15,4158700
2018-07-15,4141500
2018-07-16,4113300
2018-07-16,4089800
2018-07-16,4349700
2018-07-16,4306300
2018-07-16,4113300
2018-07-16,4089800
2018-07-16,4349700
2018-07-16,4306300
2018-07-16,4113300
2018-07-16,4089800
2018-07-16,4349700
2018-07-16,4306300
2018-07-16,4113300
2018-07-16,4089800
2018-07-16,4349700
2018-07-16,4306300
2018-07-17,0
2018-07-17,0
2018-07-17,0
2018-07-17,0
2018-07-21,3791500
2018-07-21,3791500
2018-07-21,3791500
2018-07-21,3791500
2018-07-22,4126400
2018-07-22,4096000
2018-07-22,4141700
2018-07-22,4110200
2018-07-22,3947300
2018-07-22,3938300
2018-07-22,4126400
2018-07-22,4096000
2018-07-22,4141700
2018-07-22,4110200
2018-07-22,3947300
2018-07-22,3938300
2018-07-22,4126400
2018-07-22,4096000
2018-07-22,4141700
2018-07-22,4110200
2018-07-22,3947300
2018-07-22,3938300
2018-07-22,4126400
2018-07-22,4096000
2018-07-22,4141700
2018-07-22,4110200
2018-07-22,3947300
2018-07-22,3938300
2018-07-22,4126400
2018-07-22,4096000
2018-07-22,4141700
2018-07-22,4110200
2018-07-22,3947300
2018-07-22,3938300
2018-07-22,4126400
2018-07-22,4096000
2018-07-22,4141700
2018-07-22,4110200
2018-07-22,3947300
2018-07-22,3938300
2018-07-23,0
2018-07-23,0
2018-07-23,0
2018-07-23,0
2018-07-27,3785800
2018-07-27,3785500
2018-07-27,3785800
2018-07-27,3785500
2018-07-28,4186900
2018-07-28,4154600
2018-07-28,4184000
2018-07-28,4155100
2018-07-28,4186900
2018-07-28,4154600
2018-07-28,4184000
2018-07-28,4155100
2018-07-28,4186900
2018-07-28,4154600
2018-07-28,4184000
2018-07-28,4155100
2018-07-28,4186900
2018-07-28,4154600
2018-07-28,4184000
2018-07-28,4155100
2018-07-29,0
2018-07-29,0
2018-07-29,0
2018-07-29,0
2018-08-02,3714400
2018-08-02,3714400
2018-08-02,3714400
2018-08-02,3714400
2018-08-03,3928900
2018-08-03,3918200
2018-08-03,3928900
2018-08-03,3918200
2018-08-04,0
2018-08-04,0
2018-08-04,0
2018-08-04,0
2018-08-08,3657400
2018-08-08,3657400
2018-08-08,3657400
2018-08-08,3657400
2018-08-09,4122600
2018-08-09,4093100
2018-08-09,4122600
2018-08-09,4093100
2018-08-10,0
2018-08-10,0
2018-08-10,0
2018-08-10,0
2018-08-14,3758900
2018-08-14,3757400
2018-08-14,3758900
2018-08-14,3757400
2018-08-15,4002700
2018-08-15,3981100
2018-08-15,3841100
2018-08-15,3822900
2018-08-15,4002700
2018-08-15,3981100
2018-08-15,3841100
2018-08-15,3822900
2018-08-15,4002700
2018-08-15,3981100
2018-08-15,3841100
2018-08-15,3822900
2018-08-15,4002700
2018-08-15,3981100
2018-08-15,3841100
2018-08-15,3822900
2018-08-16,0
2018-08-16,0
2018-08-16,0
2018-08-16,0
2018-08-20,3776200
2018-08-20,3774100
2018-08-20,3776200
2018-08-20,3774100
2018-08-21,4074500
2018-08-21,4046400
2018-08-21,4017900
2018-08-21,3989200
2018-08-21,4074500
2018-08-21,4046400
2018-08-21,4017900
2018-08-21,3989200
2018-08-21,4074500
2018-08-21,4046400
2018-08-21,4017900
2018-08-21,3989200
2018-08-21,4074500
2018-08-21,4046400
2018-08-21,4017900
2018-08-21,3989200
2018-08-22,0
2018-08-22,0
2018-08-22,0
2018-08-22,0
2018-08-26,3805800
2018-08-26,3800500
2018-08-26,3805800
2018-08-26,3800500
2018-08-27,4326100
2018-08-27,4270000
2018-08-27,4226900
2018-08-27,4187100
2018-08-27,4036500
2018-08-27,4007500
2018-08-27,4326100
2018-08-27,4270000
2018-08-27,4226900
2018-08-27,4187100
2018-08-27,4036500
2018-08-27,4007500
2018-08-27,4326100
2018-08-27,4270000
2018-08-27,4226900
2018-08-27,4187100
2018-08-27,4036500
2018-08-27,4007500
2018-08-27,4326100
2018-08-27,4270000
2018-08-27,4226900
2018-08-27,4187100
2018-08-27,4036500
2018-08-27,4007500
2018-08-27,4326100
2018-08-27,4270000
2018-08-27,4226900
2018-08-27,4187100
2018-08-27,4036500
2018-08-27,4007500
2018-08-27,4326100
2018-08-27,4270000
2018-08-27,4226900
2018-08-27,4187100
2018-08-27,4036500
2018-08-27,4007500
2018-08-28,0
2018-08-28,0
2018-08-28,0
2018-08-28,0
2018-09-01,3634800
2018-09-01,3634700
2018-09-01,3634800
2018-09-01,3634700
2018-09-02,3846500
2018-09-02,3826600
2018-09-02,4031100
2018-09-02,4000600
2018-09-02,3846500
2018-09-02,3826600
2018-09-02,4031100
2018-09-02,4000600
2018-09-02,3846500
2018-09-02,3826600
2018-09-02,4031100
2018-09-02,4000600
2018-09-02,3846500
2018-09-02,3826600
2018-09-02,4031100
2018-09-02,4000600
2018-09-03,0
2018-09-03,0
2018-09-03,0
2018-09-03,0
2018-09-07,3685800
2018-09-07,3683000
2018-09-07,3685800
2018-09-07,3683000
2018-09-08,4202000
2018-09-08,4184800
2018-09-08,4193100
2018-09-08,4174600
2018-09-08,3811200
2018-09-08,3809300
2018-09-08,4202000
2018-09-08,4184800
2018-09-08,4193100
2018-09-08,4174600
2018-09-08,3811200
2018-09-08,3809300
2018-09-08,4202000
2018-09-08,4184800
2018-09-08,4193100
2018-09-08,4174600
2018-09-08,3811200
2018-09-08,3809300
2018-09-08,4202000
2018-09-08,4184800
2018-09-08,4193100
2018-09-08,4174600
2018-09-08,3811200
2018-09-08,3809300
2018-09-08,4202000
2018-09-08,4184800
2018-09-08,4193100
2018-09-08,4174600
2018-09-08,3811200
2018-09-08,3809300
2018-09-08,4202000
2018-09-08,4184800
2018-09-08,4193100
2018-09-08,4174600
2018-09-08,3811200
2018-09-08,3809300
2018-09-09,0
2018-09-09,0
2018-09-09,0
2018-09-09,0
2018-09-13,3571000
2018-09-13,3570300
2018-09-13,3571000
2018-09-13,3570300
2018-09-14,3799200
2018-09-14,3793200
2018-09-14,3790800
2018-09-14,3783100
2018-09-14,3799200
2018-09-14,3793200
2018-09-14,3790800
2018-09-14,3783100
2018-09-14,3799200
2018-09-14,3793200
2018-09-14,3790800
2018-09-14,3783100
2018-09-14,3799200
2018-09-14,3793200
2018-09-14,3790800
2018-09-14,3783100
2018-09-15,0
2018-09-15,0
2018-09-15,0
2018-09-15,0
2018-09-19,3516700
2018-09-19,3516600
2018-09-19,3516700
2018-09-19,3516600
2018-09-20,3992300
2018-09-20,3965300
2018-09-20,3987800
2018-09-20,3959700
2018-09-20,3752100
2018-09-20,3738000
2018-09-20,3992300
2018-09-20,3965300
2018-09-20,3987800
2018-09-20,3959700
2018-09-20,3752100
2018-09-20,3738000
2018-09-20,3992300
2018-09-20,3965300
2018-09-20,3987800
2018-09-20,3959700
2018-09-20,3752100
2018-09-20,3738000
2018-09-20,3992300
2018-09-20,3965300
2018-09-20,3987800
2018-09-20,3959700
2018-09-20,3752100
2018-09-20,3738000
2018-09-20,3992300
2018-09-20,3965300
2018-09-20,3987800
2018-09-20,3959700
2018-09-20,3752100
2018-09-20,3738000
2018-09-20,3992300
2018-09-20,3965300
2018-09-20,3987800
2018-09-20,3959700
2018-09-20,3752100
2018-09-20,3738000
2018-09-21,0
2018-09-21,0
2018-09-21,0
2018-09-21,0
2018-09-25,3770800
2018-09-25,3761000
2018-09-25,3770800
2018-09-25,3761000
2018-09-26,4285200
2018-09-26,4237300
2018-09-26,4228200
2018-09-26,4191400
2018-09-26,4285200
2018-09-26,4237300
2018-09-26,4228200
2018-09-26,4191400
2018-09-26,4285200
2018-09-26,4237300
2018-09-26,4228200
2018-09-26,4191400
2018-09-26,4285200
2018-09-26,4237300
2018-09-26,4228200
2018-09-26,4191400
2018-09-27,0
2018-09-27,0
2018-09-27,0
2018-09-27,0
2018-10-01,3663500
2018-10-01,3661400
2018-10-01,3663500
2018-10-01,3661400
2018-10-02,4110700
2018-10-02,4075800
2018-10-02,4110700
2018-10-02,4075800
2018-10-03,0
2018-10-03,0
2018-10-03,0
2018-10-03,0
2018-10-07,3841200
2018-10-07,3831300
2018-10-07,3841200
2018-10-07,3831300
2018-10-08,4240100
2018-10-08,4193800
2018-10-08,4240100
2018-10-08,4193800
2018-10-09,0
2018-10-09,0
2018-10-09,0
2018-10-09,0
2018-10-13,3568000
2018-10-13,3567100
2018-10-13,3568000
2018-10-13,3567100
2018-10-14,4047200
2018-10-14,4012600
2018-10-14,4294200
2018-10-14,4240000
2018-10-14,4047200
2018-10-14,4012600
2018-10-14,4294200
2018-10-14,4240000
2018-10-14,4047200
2018-10-14,4012600
2018-10-14,4294200
2018-10-14,4240000
2018-10-14,4047200
2018-10-14,4012600
2018-10-14,4294200
2018-10-14,4240000
2018-10-15,0
2018-10-15,0
2018-10-15,0
2018-10-15,0
2018-10-19,3852100
2018-10-19,3837500
2018-10-19,3852100
2018-10-19,3837500
2018-10-20,4158800
2018-10-20,4127100
2018-10-20,4210500
2018-10-20,4166800
2018-10-20,4158800
2018-10-20,4127100
2018-10-20,4210500
2018-10-20,4166800
2018-10-20,4158800
2018-10-20,4127100
2018-10-20,4210500
2018-10-20,4166800
2018-10-20,4158800
2018-10-20,4127100
2018-10-20,4210500
2018-10-20,4166800
2018-10-21,0
2018-10-21,0
2018-10-21,0
2018-10-21,0
2018-10-25,3562200
2018-10-25,3562100
2018-10-25,3562200
2018-10-25,3562100
2018-10-26,3773200
2018-10-26,3761000
