date,value
2018-01-04,54725014.90628347
2018-01-05,75423209.98684046
2018-01-05,62539342.637433074
2018-01-06,62539342.637433074
2018-01-10,65666151.442505285
2018-01-11,64596515.67174956
2018-01-12,64596515.67174956
2018-01-16,55523201.22239432
2018-01-17,56762083.11128083
2018-01-17,50974371.161650665
2018-01-18,50974371.161650665
2018-01-22,39097446.44211364
2018-01-23,38163810.21399881
2018-01-24,38163810.21399881
2018-01-28,56664309.64541654
2018-01-29,73291161.76914605
2018-01-29,66141598.07101163
2018-01-29,73291161.76914605
2018-01-29,66141598.07101163
2018-01-30,66141598.07101163
2018-02-03,74588601.66001798
2018-02-04,72559082.82131144
2018-02-05,72559082.82131144
2018-02-09,62064904.69812205
2018-02-10,65508017.22180274
2018-02-10,61894290.8248488
2018-02-10,65508017.22180274
2018-02-10,61894290.8248488
2018-02-11,61894290.8248488
2018-02-15,57717406.75277464
2018-02-16,51087690.21340561
2018-02-17,51087690.21340561
2018-02-21,42813734.71114242
2018-02-22,53596851.00366538
2018-02-23,51899363.19153973
2018-02-27,62644382.710201725
2018-02-28,58304796.619916156
2018-03-01,58304796.619916156
2018-03-05,59503920.705815695
2018-03-06,63479252.441325836
2018-03-06,59647158.00225513
2018-03-06,63479252.441325836
2018-03-06,59647158.00225513
2018-03-07,59647158.00225513
2018-03-11,63774460.54477518
2018-03-12,61372777.385467105
2018-03-13,61372777.385467105
2018-03-17,64115002.07713234
2018-03-18,70062538.23071809
2018-03-18,64520820.42967783
2018-03-18,70062538.23071809
2018-03-18,64520820.42967783
2018-03-19,64520820.42967783
2018-03-23,71113786.20640437
2018-03-24,68571104.33382294
2018-03-25,68571104.33382294
2018-03-29,70823980.66734369
2018-03-30,75417190.47367288
2018-03-30,72514732.65158688
2018-03-30,75417190.47367288
2018-03-30,72514732.65158688
2018-03-31,72514732.65158688
2018-04-04,70686585.34684831
2018-04-05,66408304.72568895
2018-04-06,66408304.72568895
2018-04-10,61353602.21005405
2018-04-11,67082919.99600106
2018-04-11,64271593.3879865
2018-04-11,67082919.99600106
2018-04-11,64271593.3879865
2018-04-12,64271593.3879865
2018-04-16,69458409.41722278
2018-04-17,62710765.26427667
2018-04-18,62710765.26427667
2018-04-22,58513704.77438482
2018-04-23,60341233.7950273
2018-04-23,58937922.59999693
2018-04-23,60341233.7950273
2018-04-23,58937922.59999693
2018-04-24,58937922.59999693
2018-04-28,62426100.17736953
2018-04-29,61866792.536640674
2018-04-30,61866792.536640674
2018-05-04,64098234.778797336
2018-05-05,64905322.37168514
2018-05-05,60948824.586206555
