date,value
2018-01-02,20.94831970489256
2018-01-12,53.180359147900745
2018-01-17,45.647862366089065
2018-01-19,nan
2018-01-22,43.96159580317716
2018-01-24,nan
2018-01-27,47.89805794907709
2018-01-29,nan
2018-02-06,8.673324203400782
2018-02-08,nan
2018-02-11,45.263167013205106
2018-02-13,nan
2018-02-16,28.59107522783477
2018-02-18,nan
2018-02-21,41.33989481145461
2018-02-26,nan
2018-03-20,nan
2018-03-28,102.1685367858797
2018-04-02,82.93150498456666
2018-04-04,nan
2018-04-14,nan
2018-04-17,102.75777472014423
2018-04-19,nan
2018-04-24,nan
2018-04-27,28.4878758498787
2018-04-29,nan
2018-05-02,70.69437735616677
2018-05-04,nan
2018-05-07,106.91133162817059
2018-05-12,0.14315404670709228
2018-05-14,nan
2018-05-19,nan
2018-05-22,99.8114315838366
2018-05-24,nan
2018-06-01,nan
2018-06-03,nan
2018-06-13,nan
2018-06-16,29.491043908431973
2018-06-21,74.86256501254866
2018-06-23,nan
2018-06-26,45.230002679378515
2018-06-28,nan
2018-07-01,5.442832126534597
2018-07-03,nan
2018-07-06,30.08192369707496
2018-07-08,nan
2018-07-11,81.62051419307168
2018-07-13,nan
2018-07-16,53.39537690784165
2018-07-18,nan
2018-07-21,62.8258770665065
2018-07-23,nan
2018-07-26,75.98722344546293
2018-07-28,nan
2018-07-31,74.80130923423035
2018-08-02,nan
2018-08-05,0.00010979341056412927
2018-08-07,nan
2018-08-10,65.34693548197755
2018-08-12,nan
2018-08-15,67.58853953944892
2018-08-17,nan
2018-08-20,70.86870102658693
2018-08-22,nan
2018-08-25,64.77551089956849
2018-08-27,nan
2018-08-30,63.96273957010514
2018-09-01,nan
2018-09-04,18.163863532782425
2018-09-06,nan
2018-09-09,1.356038620336075
2018-09-11,nan
2018-09-14,nan
2018-09-16,nan
2018-09-19,72.65748095531679
2018-09-21,nan
2018-09-24,64.60592452582027
2018-09-26,nan
2018-09-29,67.47606679710346
2018-10-01,nan
2018-10-04,69.4967112915951
2018-10-06,nan
2018-10-09,65.73700050891952
2018-10-14,nan
2018-10-19,44.15074023635998
2018-10-24,0.14553167076332207
2018-10-29,63.7078593281465
2018-11-03,nan
2018-11-05,nan
2018-11-13,79.49359311566616
2018-11-23,4.55495591369551
2018-11-28,0.25652399680294874
2018-11-30,nan
2018-12-03,nan
2018-12-05,nan
2018-12-08,nan
2018-12-10,nan
2018-12-13,10.654761211348896
2018-12-15,nan
2018-12-20,nan
2018-12-23,67.3792612423522
2018-12-28,80.66869476731063
2018-12-30,nan
2019-01-02,nan
2019-01-04,nan
2019-01-07,74.98512261691451
2019-01-09,nan
2019-01-12,82.61894271960712
2019-01-14,nan
2019-01-22,nan
2019-01-27,78.92277189818954
2019-01-29,nan
2019-02-01,73.80404553599678
2019-02-03,nan
2019-02-06,79.06371970846867
2019-02-08,nan
2019-02-11,3.4364606684830443
2019-02-13,nan
2019-02-21,52.242065913788316
2019-02-26,80.43457070841723
2019-02-28,nan
2019-03-03,76.82107863505775
2019-03-10,nan
2019-03-13,74.7046208506203
2019-03-15,nan
2019-03-18,81.23673137283221
2019-03-20,nan
2019-03-23,10.347294132936605
2019-03-25,nan
2019-03-28,0.28769738581211124
2019-03-30,nan
2019-04-04,nan
2019-04-12,72.17233688180751
2019-04-14,nan
2019-04-19,nan
2019-04-22,66.04087535713543
2019-04-27,74.87868750580051
2019-04-29,nan
2019-05-02,0.18310184194073584
2019-05-07,62.252173800113084
2019-05-12,5.618532785472747
2019-05-14,nan
2019-05-19,nan
2019-05-22,67.78550478429769
2019-05-24,nan
2019-05-27,21.485280959307733
2019-05-29,nan
2019-06-01,20.71076836816193
2019-06-03,nan
2019-06-06,52.9279080509596
2019-06-08,nan
2019-06-11,48.35149394988141
2019-06-18,nan
2019-06-21,35.02231971418847
2019-06-23,nan
2019-06-26,1.327803533835893
2019-06-28,nan
2019-07-01,39.9093347747137
2019-07-03,nan
2019-07-06,nan
2019-07-08,nan
2019-07-11,3.706972900667881
2019-07-13,nan
2019-07-16,0.15032270561820504
2019-07-18,nan
2019-07-21,7.008599626165742
2019-07-23,nan
2019-07-26,nan
2019-07-28,nan
2019-07-31,45.67003342566082
2019-08-02,nan
2019-08-05,44.10960073356702
2019-08-10,34.86655734091778
2019-08-12,nan
2019-08-15,44.827100169646585
2019-08-17,nan
2019-08-20,41.881328233970414
2019-08-22,nan
2019-08-25,43.70705581590944
2019-08-27,nan
2019-08-30,46.100247550880965
2019-09-01,nan
2019-09-04,40.950650663055036
2019-09-06,nan
2019-09-09,39.407661114758355
2019-09-11,nan
2019-09-14,nan
2019-09-16,nan
2019-09-19,27.628382544039997
2019-09-24,42.40594654478316
2019-09-26,nan
2019-09-29,39.5773223774723
2019-10-01,nan
2019-10-04,36.03864743845124
2019-10-06,nan
2019-10-09,36.07989791457993
2019-10-16,nan
2019-10-21,nan
2019-10-24,14.542298662335757
2019-10-26,nan
2019-10-29,19.79251098597958
2019-11-08,37.35537112161222
2019-11-18,14.867486787405248
2019-11-23,29.707039992602404
2019-11-30,nan
2019-12-03,41.409809428354485
2019-12-05,nan
2019-12-08,38.45485967116352
2019-12-10,nan
2019-12-15,nan
2019-12-23,61.255113338249345
2019-12-25,nan
2019-12-28,58.18026848855372
2019-12-30,nan
2020-01-02,63.251085957034114
2020-01-04,nan
2020-01-07,62.67313915601381
2020-01-09,nan
2020-01-12,54.52417629977126
2020-01-19,nan
2020-01-27,nan
2020-01-29,nan
2020-02-01,nan
2020-02-03,nan
2020-02-06,35.61666445717259
2020-02-11,8.426095554853068
2020-02-16,56.36826637270824
2020-02-18,nan
2020-02-21,74.27964725194099
2020-02-23,nan
2020-02-26,nan
2020-02-28,nan
2020-03-02,16.167794965611694
2020-03-04,nan
2020-03-07,nan
2020-03-19,nan
2020-03-27,0.005616430822727731
2020-03-29,nan
2020-04-01,46.95039348296825
2020-04-03,nan
2020-04-08,nan
2020-04-11,nan
2020-04-23,nan
2020-05-01,nan
2020-05-03,nan
2020-05-06,72.1213270073223
2020-05-08,nan
2020-05-16,11.723032421052455
2020-05-18,nan
2020-05-21,55.892953815797
2020-05-23,nan
2020-05-26,3.423915621690856
2020-05-28,nan
2020-06-05,4.863192155068192
2020-06-07,nan
2020-06-10,68.3868608041893
2020-06-12,nan
2020-06-15,61.87465695289208
2020-06-17,nan
2020-06-20,44.56278031167865
2020-06-22,nan
2020-06-25,62.37715249554251
2020-06-27,nan
2020-06-30,57.070187615494596
2020-07-02,nan
2020-07-05,56.661150469054746
2020-07-07,nan
2020-07-10,26.666450682448485
2020-07-12,nan
2020-07-15,0.0026058357802814245
2020-07-17,nan
2020-07-20,56.12307555921212
2020-07-22,nan
2020-07-25,42.68529233456731
2020-07-27,nan
2020-07-30,54.35746540492751
2020-08-01,nan
2020-08-04,49.3871371292601
2020-08-06,nan
2020-08-09,49.038343709175294
2020-08-14,46.122485646536084
2020-08-16,nan
2020-08-19,45.47614848132031
2020-08-21,nan
2020-08-24,44.15074023635998
2020-08-26,nan
2020-08-29,7.7814125259394284
2020-08-31,nan
2020-09-03,36.52425156087622
2020-09-05,nan
2020-09-08,36.25020875402665
2020-09-10,nan
2020-09-13,nan
2020-09-15,nan
2020-09-20,nan
2020-09-23,9.875690683655142
2020-09-25,nan
2020-09-28,nan
2020-10-03,3.637799967507648
2020-10-08,nan
2020-10-10,nan
2020-10-13,39.874765933575304
2020-10-15,nan
2020-10-18,nan
2020-10-23,5.744444924437892
2020-10-30,nan
2020-11-02,34.326876357643954
2020-11-07,0.0640598386437202
2020-11-12,nan
2020-11-17,16.333423198721956
2020-11-19,nan
2020-11-22,38.810334305382156
2020-11-24,nan
2020-11-27,nan
2020-12-02,36.50613491424727
2020-12-09,nan
2020-12-22,35.429320741832896
2020-12-24,nan
2020-12-27,39.8162857183935
2020-12-29,nan
