date;value
2018-01-02;nan
2018-01-04;nan
2018-01-12;nan
2018-01-17;nan
2018-01-19;nan
2018-01-22;nan
2018-01-24;73009158.88723041
2018-01-27;73009158.88723041
2018-01-29;73268824.8395441
2018-02-08;285812665.62521636
2018-02-11;285812665.62521636
2018-02-13;294171536.4076465
2018-02-16;294171536.4076465
2018-02-18;288854226.22552615
2018-02-21;292985764.4260179
2018-02-26;285797020.0404798
2018-03-28;nan
2018-04-02;nan
2018-04-04;nan
2018-04-14;368870033.4207465
2018-04-17;368870033.4207465
2018-04-19;479225408.1541966
2018-04-22;479225408.1541966
2018-04-24;480637952.6243249
2018-04-27;495002660.08611333
2018-04-29;493869106.3443065
2018-05-02;481620506.5420266
2018-05-04;489427063.7629875
2018-05-07;56068713.439578794
2018-06-01;nan
2018-06-03;537302383.1308465
2018-06-08;541336495.8527377
2018-06-13;548551865.0602396
2018-06-16;546661401.5141287
2018-06-21;nan
2018-06-23;544647715.3988864
2018-06-26;544647715.3988864
2018-06-28;565363865.051378
2018-07-01;565363865.051378
2018-07-03;547014094.6913499
2018-07-06;563343928.4054652
2018-07-08;546419606.0733774
2018-07-11;546993938.4041553
2018-07-13;535462141.43830687
2018-07-16;541406758.4845656
2018-07-18;526084517.3775199
2018-07-21;532103076.326399
2018-07-23;515638608.19659925
2018-07-26;521190025.9950962
2018-07-28;507793068.5704563
2018-07-31;512363110.44544923
2018-08-02;506227642.52173066
2018-08-05;512584171.20920086
2018-08-07;500052936.8516326
2018-08-10;510110416.9629524
2018-08-12;490720840.15984935
2018-08-15;493501161.806967
2018-08-17;479680118.2392882
2018-08-20;483645593.8772102
2018-08-22;471996746.6995195
2018-08-25;477436922.2719075
2018-08-27;472472563.7994134
2018-08-30;479924295.17748374
2018-09-01;462859623.4477785
2018-09-04;478321274.94816774
2018-09-06;459211137.9432755
2018-09-09;461618628.848981
2018-09-11;454518720.4129408
2018-09-16;445706673.9145771
2018-09-19;427607629.64893615
