date,value
2018-01-02,8100
2018-01-04,0
2018-01-12,683200
2018-01-17,670100
2018-01-19,870400
2018-01-22,940500
2018-01-24,106400
2018-01-27,915800
2018-01-29,0
2018-02-08,904900
2018-02-11,934800
2018-02-13,1039100
2018-02-16,21100
2018-02-18,442700
2018-02-21,54800
2018-02-26,51000
2018-03-28,2105600
2018-04-02,944600
2018-04-04,0
2018-04-14,1978100
2018-04-17,10700
2018-04-19,2129100
2018-04-22,45600
2018-04-24,0
2018-04-27,1799800
2018-04-29,380400
2018-05-02,269900
2018-05-04,0
2018-05-07,704100
2018-06-01,0
2018-06-03,2077100
2018-06-08,0
2018-06-13,2127000
2018-06-16,143100
2018-06-21,348900
2018-06-23,2054200
2018-06-26,46100
2018-06-28,0
2018-07-01,300
2018-07-03,2080300
2018-07-06,205900
2018-07-08,2086800
2018-07-11,75800
2018-07-13,2010900
2018-07-16,1412300
2018-07-18,1988400
2018-07-21,416900
2018-07-23,1940300
2018-07-26,303300
2018-07-28,1906900
2018-07-31,1018200
2018-08-02,1846100
2018-08-05,1917000
2018-08-07,1903500
2018-08-10,1836700
2018-08-12,1894300
2018-08-15,785600
2018-08-17,1798400
2018-08-20,1455500
2018-08-22,1748700
2018-08-25,1785500
2018-08-27,407100
2018-08-30,1745100
2018-09-01,1743400
2018-09-04,1709300
2018-09-06,868000
2018-09-09,3800
2018-09-11,89700
2018-09-16,1593200
2018-09-19,1640400
2018-09-21,1619200
2018-09-24,1633600
2018-09-26,1266900
2018-09-29,1569000
2018-10-01,1583300
2018-10-04,1650100
2018-10-06,1545100
2018-10-09,95600
2018-10-16,281500
2018-10-19,653200
2018-10-24,1644400
2018-10-29,1520400
2018-11-03,1518900
2018-11-05,0
2018-11-13,1777200
2018-11-15,0
2018-11-28,1616900
2018-11-30,0
2018-12-03,1194800
2018-12-05,1796000
2018-12-08,0
2018-12-10,1689200
2018-12-13,1270200
2018-12-15,1730000
2018-12-20,1717000
2018-12-23,1657400
2018-12-28,1637700
2018-12-30,1751300
2019-01-02,1716400
2019-01-04,1751000
2019-01-07,1731700
2019-01-09,1763100
2019-01-12,1643100
2019-01-14,1717000
2019-01-17,0
2019-01-22,527000
2019-01-27,1742600
2019-01-29,0
2019-02-01,0
2019-02-03,1890900
2019-02-06,1873600
2019-02-08,1850100
2019-02-13,1920400
2019-02-21,1632600
2019-02-26,1923000
2019-02-28,0
2019-03-03,1908200
2019-03-08,366100
2019-03-10,1845900
2019-03-13,1310600
2019-03-15,1900500
2019-03-18,666200
2019-03-20,742800
2019-03-23,1474600
2019-03-25,1831800
2019-03-28,1917800
2019-03-30,1826800
2019-04-04,0
2019-04-09,0
2019-04-12,878700
2019-04-14,1773500
2019-04-19,55800
2019-04-22,696100
2019-04-27,1910300
2019-04-29,1840000
2019-05-02,1852700
2019-05-04,0
2019-05-07,1278100
2019-05-12,1432900
2019-05-14,1859400
2019-05-19,1840800
2019-05-22,1405600
2019-05-24,1855900
2019-05-27,635600
2019-05-29,1832300
2019-06-01,0
2019-06-03,0
2019-06-06,81000
2019-06-08,1126600
2019-06-11,62800
2019-06-13,0
2019-06-18,1765700
2019-06-21,1400
2019-06-23,1702400
2019-06-26,10100
2019-06-28,1659600
2019-07-01,79700
2019-07-03,1714700
2019-07-08,1214200
2019-07-11,6100
2019-07-13,1630000
2019-07-16,19900
2019-07-18,1623900
2019-07-21,952500
2019-07-23,1623000
2019-07-26,1200600
2019-07-28,780200
2019-07-31,1299600
2019-08-02,1541900
2019-08-05,1237300
2019-08-07,0
2019-08-10,357800
2019-08-12,1573000
2019-08-15,1586700
2019-08-17,1517700
2019-08-20,1537200
2019-08-22,1477600
2019-08-25,1549500
2019-08-27,1302100
2019-08-30,1534300
2019-09-01,1479700
2019-09-04,0
2019-09-06,1515400
2019-09-09,1510600
2019-09-11,1462100
2019-09-16,607500
2019-09-19,1416900
2019-09-24,1339900
2019-09-26,1425400
2019-09-29,1435500
2019-10-01,1422500
2019-10-04,1431100
2019-10-06,1469200
2019-10-09,1472400
2019-10-11,0
2019-10-16,1402100
2019-10-21,579500
2019-10-24,1446900
2019-10-26,1372800
2019-10-29,1078000
2019-11-08,0
2019-11-18,1350700
2019-11-23,17000
2019-11-30,1497500
2019-12-03,1333400
2019-12-05,1453300
2019-12-08,1530100
2019-12-10,1396100
2019-12-15,1476100
2019-12-23,1615300
2019-12-25,1449100
2019-12-28,1474600
2019-12-30,1422200
2020-01-02,1513800
2020-01-04,626800
2020-01-07,1608100
2020-01-09,1492000
2020-01-12,1495300
2020-01-14,0
2020-01-24,0
2020-01-27,1519200
2020-01-29,720900
2020-02-03,1510600
2020-02-06,14500
2020-02-11,0
2020-02-16,1506000
2020-02-18,121300
2020-02-21,1377900
2020-02-23,1521400
2020-02-26,0
2020-02-28,12800
2020-03-02,0
2020-03-04,0
2020-03-07,1517800
2020-03-12,0
2020-03-14,9700
2020-03-17,0
2020-03-24,0
2020-03-27,1348500
2020-03-29,499800
2020-04-01,707000
2020-04-03,437600
2020-04-08,10100
2020-04-11,1528800
2020-04-16,1502300
2020-04-23,1501500
2020-05-01,1558400
2020-05-03,475000
2020-05-06,1448400
2020-05-08,1501000
2020-05-18,1492700
2020-05-21,1359500
2020-05-23,1525300
2020-05-26,335700
2020-05-28,1449000
2020-05-31,0
2020-06-07,555100
2020-06-10,0
